ID;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
0;Male;39;White;Never-married;Bachelors;United-States;State-gov;Adm-clerical;<=50K
1;Male;50;White;Married-civ-spouse;Bachelors;United-States;Self-emp-not-inc;Exec-managerial;<=50K
2;Male;38;White;Divorced;HS-grad;United-States;Private;Handlers-cleaners;<=50K
3;Male;53;Black;Married-civ-spouse;11th;United-States;Private;Handlers-cleaners;<=50K
4;Female;28;Black;Married-civ-spouse;Bachelors;Cuba;Private;Prof-specialty;<=50K
5;Female;37;White;Married-civ-spouse;Masters;United-States;Private;Exec-managerial;<=50K
6;Female;49;Black;Married-spouse-absent;9th;Jamaica;Private;Other-service;<=50K
7;Male;52;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Exec-managerial;>50K
8;Female;31;White;Never-married;Masters;United-States;Private;Prof-specialty;>50K
9;Male;42;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
10;Male;37;Black;Married-civ-spouse;Some-college;United-States;Private;Exec-managerial;>50K
